# Single SKU Max Power Table (unit is 1 dBm)                                                   
# 2.4G Channel                                                   
Band: 2.4G MaxPower_4T MaxPower_3T MaxPower_2T                                                
Ch1 12 30 30                                                
Ch2 12 30 30                                                
Ch3 12 30 30                                                
Ch4 12 30 30                                                
Ch5 16 30 30                                                
Ch6 16 30 30                                                
Ch7 16 30 30                                                
Ch8 16 30 30                                                
Ch9 12 30 30                                                
Ch10 12 30 30                                                
Ch12 12 30 30                                                
Ch12 12 30 30                                                
Ch13 12 30 30                                                
Ch14 12 30 30                                                
                                                   
# 5G Channel                                                   
Band: 5G MaxPower_4T MaxPower_3T MaxPower_2T                                                
Ch184 17 30 30                                                
Ch188 17 30 30                                                
Ch192 17 30 30                                                
Ch196 17 30 30                                                
Ch8 17 30 30                                                
Ch12 17 30 30                                                
Ch16 17 30 30                                                
Ch36 17 30 30                                                
Ch40 17 30 30                                                
Ch44 17 30 30                                                
Ch48 17 30 30                                                
Ch52 21 30 30                                                
Ch56 21 30 30                                                
Ch60 21 30 30                                                
Ch64 21 30 30                                                
Ch68 21 30 30                                                
Ch72 21 30 30                                                
Ch76 21 30 30                                                
Ch80 21 30 30                                                
Ch84 21 30 30                                                
Ch88 21 30 30                                                
Ch92 21 30 30                                                
Ch96 21 30 30                                                
Ch100 21 30 30                                                
Ch104 21 30 30                                                
Ch108 21 30 30                                                
Ch122 21 30 30                                                
Ch126 21 30 30                                                
Ch120 21 30 30                                                
Ch124 21 30 30                                                
Ch128 21 30 30                                                
Ch132 21 30 30                                                
Ch136 21 30 30                                                
Ch140 21 30 30                                                
Ch144 21 30 30                                                
Ch149 21 30 30                                                
Ch153 21 30 30                                                
Ch157 21 30 30                                                
Ch161 21 30 30                                                
Ch165 21 30 30                                                
Ch169 21 30 30                                                
Ch173 21 30 30                                                
Ch177 21 30 30                                                
Ch181 21 30 30                                                
                                                   
                                                   
                                                   
                                                   
                                                   
                                                   
                                                   
