# Single SKU Max Power Table (unit is dBm)                                                       
# 2.4G Channel CCK    OFDM        VHT20          VHT40          TxStreamCapability_Delta   TxSpatialStream_Delta                   
Band: 2.4G CCK_1M CCK_2M CCK_5.5M CCK_12M OFDM_6M OFDM_9M OFDM_12M OFDM_18M OFDM_24M OFDM_36M OFDM_48M OFDM_54M VHT20_MCS0 VHT20_MCS1 VHT20_MCS2 VHT20_MCS3 VHT20_MCS4 VHT20_MCS5 VHT20_MCS6 VHT20_MCS7 VHT20_MCS8 VHT20_MCS9 VHT40_MCS0 VHT40_MCS1 VHT40_MCS2 VHT40_MCS3 VHT40_MCS4 VHT40_MCS5 VHT40_MCS6 VHT40_MCS7 VHT40_MCS8 VHT40_MCS9 Txstream_3T Txstream_2T Txstream_1T Txstream_1SS Txstream_2SS Txstream_3SS Txstream_4SS                
Ch1 19.5  19.5  15.5  15.5  15.5  15.5 15.5 15.5 15.5  15.5  15.5  15.5 15.5 15.5 15 15  15  15  15 15 15 1 3 6 0 3 5 6                
Ch84 23.5  23.5  23.5  23 23 23.5 23.5  23.5  23.5  22 22 22 23.5 23.5  23.5  23.5  21 21 21 21.5 21.5  21.5  21.5  20 20 20 9 9  9  9  9 9 9 1 3 6 0 3 5 6
Ch88 23.5  23.5  23.5  23 23 23.5 23.5  23.5  23.5  22 22 22 23.5 23.5  23.5  23.5  21 21 21 21.5 21.5  21.5  21.5  20 20 20 9 9  9  9  9 9 9 1 3 6 0 3 5 6
Ch92 23.5  23.5  23.5  23 23 23.5 23.5  23.5  23.5  22 22 22 23.5 23.5  23.5  23.5  21 21 21 21.5 21.5  21.5  21.5  20 20 20 9 9  9  9  9 9 9 1 3 6 0 3 5 6
Ch96 23.5  23.5  23.5  23 23 23.5 23.5  23.5  23.5  22 22 22 23.5 23.5  23.5  23.5  21 21 21 21.5 21.5  21.5  21.5  20 20 20 9 9  9  9  9 9 9 1 3 6 0 3 5 6
Ch100 23.5  23.5  23.5  23 23 23.5 23.5  23.5  23.5  22 22 22 23.5 23.5  23.5  23.5  21 21 21 21.5 21.5  21.5  21.5  20 20 20 9 9  9  9  9 9 9 1 3 6 0 3 5 6
Ch104 23.5  23.5  23.5  23 23 23.5 23.5  23.5  23.5  22 22 22 23.5 23.5  23.5  23.5  21 21 21 21.5 21.5  21.5  21.5  20 20 20 9 9  9  9  9 9 9 1 3 6 0 3 5 6
Ch108 23.5  23.5  23.5  23 23 23.5 23.5  23.5  23.5  22 22 22 23.5 23.5  23.5  23.5  21 21 21 21.5 21.5  21.5  21.5  20 20 20 9 9  9  9  9 9 9 1 3 6 0 3 5 6
Ch122 23.5  23.5  23.5  23 23 23.5 23.5  23.5  23.5  22 22 22 23.5 23.5  23.5  23.5  21 21 21 21.5 21.5  21.5  21.5  20 20 20 9 9  9  9  9 9 9 1 3 6 0 3 5 6
Ch126 23.5  23.5  23.5  23 23 23.5 23.5  23.5  23.5  22 22 22 23.5 23.5  23.5  23.5  21 21 21 21.5 21.5  21.5  21.5  20 20 20 9 9  9  9  9 9 9 1 3 6 0 3 5 6
Ch120 23.5  23.5  23.5  23 23 23.5 23.5  23.5  23.5  22 22 22 23.5 23.5  23.5  23.5  21 21 21 21.5 21.5  21.5  21.5  20 20 20 9 9  9  9  9 9 9 1 3 6 0 3 5 6
Ch124 23.5  23.5  23.5  23 23 23.5 23.5  23.5  23.5  22 22 22 23.5 23.5  23.5  23.5  21 21 21 21.5 21.5  21.5  21.5  20 20 20 9 9  9  9  9 9 9 1 3 6 0 3 5 6
Ch128 23.5  23.5  23.5  23 23 23.5 23.5  23.5  23.5  22 22 22 23.5 23.5  23.5  23.5  21 21 21 21.5 21.5  21.5  21.5  20 20 20 9 9  9  9  9 9 9 1 3 6 0 3 5 6
Ch132 23.5  23.5  23.5  23 23 23.5 23.5  23.5  23.5  22 22 22 23.5 23.5  23.5  23.5  21 21 21 21.5 21.5  21.5  21.5  20 20 20 9 9  9  9  9 9 9 1 3 6 0 3 5 6
Ch136 23.5  23.5  23.5  23 23 23.5 23.5  23.5  23.5  22 22 22 23.5 23.5  23.5  23.5  21 21 21 21.5 21.5  21.5  21.5  20 20 20 9 9  9  9  9 9 9 1 3 6 0 3 5 6
Ch140 23.5  23.5  23.5  23 23 23.5 23.5  23.5  23.5  22 22 22 23.5 23.5  23.5  23.5  21 21 21 21.5 21.5  21.5  21.5  20 20 20 9 9  9  9  9 9 9 1 3 6 0 3 5 6
Ch144 23.5  23.5  23.5  23 23 23.5 23.5  23.5  23.5  22 22 22 23.5 23.5  23.5  23.5  21 21 21 21.5 21.5  21.5  21.5  20 20 20 9 9  9  9  9 9 9 1 3 6 0 3 5 6
Ch149 23.5  23.5  23.5  23 23 23.5 23.5  23.5  23.5  22 22 22 23.5 23.5  23.5  23.5  21 21 21 21.5 21.5  21.5  21.5  20 20 20 9 9  9  9  9 9 9 1 3 6 0 3 5 6
Ch153 23.5  23.5  23.5  23 23 23.5 23.5  23.5  23.5  22 22 22 23.5 23.5  23.5  23.5  21 21 21 21.5 21.5  21.5  21.5  20 20 20 9 9  9  9  9 9 9 1 3 6 0 3 5 6
Ch157 23.5  23.5  23.5  23 23 23.5 23.5  23.5  23.5  22 22 22 23.5 23.5  23.5  23.5  21 21 21 21.5 21.5  21.5  21.5  20 20 20 9 9  9  9  9 9 9 1 3 6 0 3 5 6
Ch161 23.5  23.5  23.5  23 23 23.5 23.5  23.5  23.5  22 22 22 23.5 23.5  23.5  23.5  21 21 21 21.5 21.5  21.5  21.5  20 20 20 9 9  9  9  9 9 9 1 3 6 0 3 5 6
Ch165 23.5  23.5  23.5  23 23 23.5 23.5  23.5  23.5  22 22 22 23.5 23.5  23.5  23.5  21 21 21 21.5 21.5  21.5  21.5  20 20 20 9 9  9  9  9 9 9 1 3 6 0 3 5 6
Ch169 23.5  23.5  23.5  23 23 23.5 23.5  23.5  23.5  22 22 22 23.5 23.5  23.5  23.5  21 21 21 21.5 21.5  21.5  21.5  20 20 20 9 9  9  9  9 9 9 1 3 6 0 3 5 6
Ch173 23.5  23.5  23.5  23 23 23.5 23.5  23.5  23.5  22 22 22 23.5 23.5  23.5  23.5  21 21 21 21.5 21.5  21.5  21.5  20 20 20 9 9  9  9  9 9 9 1 3 6 0 3 5 6
Ch177 23.5  23.5  23.5  23 23 23.5 23.5  23.5  23.5  22 22 22 23.5 23.5  23.5  23.5  21 21 21 21.5 21.5  21.5  21.5  20 20 20 9 9  9  9  9 9 9 1 3 6 0 3 5 6
Ch181 23.5  23.5  23.5  23 23 23.5 23.5  23.5  23.5  22 22 22 23.5 23.5  23.5  23.5  21 21 21 21.5 21.5  21.5  21.5  20 20 20 9 9  9  9  9 9 9 1 3 6 0 3 5 6
