# 2.4G Channel,CCK,,,,OFDM,,,,,,,BW20 (HT/VHT),,,,,,,,,,,,,,,,,,,,BW40 (HT/VHT),,,,,,,,,,,,,,,,,,,,BW80 (HT/VHT),,,,,,,,,,,,,,,,,,,,BW160 (HT/VHT),,,,,,,,,,,,,,,,,,,,RU26,,,,,,,,,,,,,,,,,,,,RU52,,,,,,,,,,,,,,,,,,,,RU106,,,,,,,,,,,,,,,,,,,
,BF OFF,,,,BF OFF,,,,BF ON,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,
Band: 2.4G,1T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss
Ch192,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Ch196,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Ch8,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Ch12,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Ch16,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Ch36,60,60,60,60,18.5,15.5,60,60,15.5,60,60,18,15,60,60,15.5,60,60,60,60,60,18,15,60,60,15.5,60,60,60,60,60,20,17.5,60,60,17.5,60,60,60,60,60,20,15.5,60,60,17.5,60,60,60,60,60,20,17.5,60,60,17.5,60,60,60,60,60,20,15.5,60,60,17.5,60,60,60,60,60,20,17.5,60,60,17.5,60,60,60,60,60,20,15.5,60,60,17.5,60,60,60,60,60,6.5,6,60,60,6.5,60,60,60,60,60,6.5,6,60,60,6.5,60,60,60,60,60,9.5,9,60,60,9.5,60,60,60,60,60,9.5,9,60,60,9.5,60,60,60,60,60,12.5,12,60,60,12.5,60,60,60,60,60,12.5,12,60,60,12.5,60,60,60,60,60
Ch40,60,60,60,60,18.5,15.5,60,60,15.5,60,60,18,15,60,60,15.5,60,60,60,60,60,18,15,60,60,15.5,60,60,60,60,60,20,17.5,60,60,17.5,60,60,60,60,60,20,15.5,60,60,17.5,60,60,60,60,60,20,17.5,60,60,17.5,60,60,60,60,60,20,15.5,60,60,17.5,60,60,60,60,60,20,17.5,60,60,17.5,60,60,60,60,60,20,15.5,60,60,17.5,60,60,60,60,60,6.5,6,60,60,6.5,60,60,60,60,60,6.5,6,60,60,6.5,60,60,60,60,60,9.5,9,60,60,9.5,60,60,60,60,60,9.5,9,60,60,9.5,60,60,60,60,60,12.5,12,60,60,12.5,60,60,60,60,60,12.5,12,60,60,12.5,60,60,60,60,60
Ch44,60,60,60,60,18.5,15.5,60,60,15.5,60,60,18,15,60,60,15.5,60,60,60,60,60,18,15,60,60,15.5,60,60,60,60,60,20,17.5,60,60,17.5,60,60,60,60,60,20,15.5,60,60,17.5,60,60,60,60,60,20,17.5,60,60,17.5,60,60,60,60,60,20,15.5,60,60,17.5,60,60,60,60,60,20,17.5,60,60,17.5,60,60,60,60,60,20,15.5,60,60,17.5,60,60,60,60,60,6.5,6,60,60,6.5,60,60,60,60,60,6.5,6,60,60,6.5,60,60,60,60,60,9.5,9,60,60,9.5,60,60,60,60,60,9.5,9,60,60,9.5,60,60,60,60,60,12.5,12,60,60,12.5,60,60,60,60,60,12.5,12,60,60,12.5,60,60,60,60,60
Ch48,60,60,60,60,18.5,15.5,60,60,15.5,60,60,18,15,60,60,15.5,60,60,60,60,60,18,15,60,60,15.5,60,60,60,60,60,20,17.5,60,60,17.5,60,60,60,60,60,20,15.5,60,60,17.5,60,60,60,60,60,20,17.5,60,60,17.5,60,60,60,60,60,20,15.5,60,60,17.5,60,60,60,60,60,20,17.5,60,60,17.5,60,60,60,60,60,20,15.5,60,60,17.5,60,60,60,60,60,6.5,6,60,60,6.5,60,60,60,60,60,6.5,6,60,60,6.5,60,60,60,60,60,9.5,9,60,60,9.5,60,60,60,60,60,9.5,9,60,60,9.5,60,60,60,60,60,12.5,12,60,60,12.5,60,60,60,60,60,12.5,12,60,60,12.5,60,60,60,60,60
Ch52,60,60,60,60,18,15,60,60,15,60,60,18.5,15.5,60,60,15.5,60,60,60,60,60,18.5,15.5,60,60,15.5,60,60,60,60,60,20,17,60,60,17,60,60,60,60,60,20,15.5,60,60,17,60,60,60,60,60,20,17.5,60,60,17.5,60,60,60,60,60,20,15.5,60,60,17.5,60,60,60,60,60,20,17.5,60,60,17.5,60,60,60,60,60,20,15.5,60,60,17.5,60,60,60,60,60,6.5,6.5,60,60,6.5,60,60,60,60,60,6.5,6.5,60,60,6.5,60,60,60,60,60,9.5,9.5,60,60,9.5,60,60,60,60,60,9.5,9.5,60,60,9.5,60,60,60,60,60,12.5,12.5,60,60,12.5,60,60,60,60,60,12.5,12.5,60,60,12.5,60,60,60,60,60
Ch56,60,60,60,60,18,15,60,60,15,60,60,18.5,15.5,60,60,15.5,60,60,60,60,60,18.5,15.5,60,60,15.5,60,60,60,60,60,20,17,60,60,17,60,60,60,60,60,20,15.5,60,60,17,60,60,60,60,60,20,17.5,60,60,17.5,60,60,60,60,60,20,15.5,60,60,17.5,60,60,60,60,60,20,17.5,60,60,17.5,60,60,60,60,60,20,15.5,60,60,17.5,60,60,60,60,60,6.5,6.5,60,60,6.5,60,60,60,60,60,6.5,6.5,60,60,6.5,60,60,60,60,60,9.5,9.5,60,60,9.5,60,60,60,60,60,9.5,9.5,60,60,9.5,60,60,60,60,60,12.5,12.5,60,60,12.5,60,60,60,60,60,12.5,12.5,60,60,12.5,60,60,60,60,60
Ch60,60,60,60,60,18,15,60,60,15,60,60,18.5,15.5,60,60,15.5,60,60,60,60,60,18.5,15.5,60,60,15.5,60,60,60,60,60,20,17,60,60,17,60,60,60,60,60,20,15.5,60,60,17,60,60,60,60,60,20,17.5,60,60,17.5,60,60,60,60,60,20,15.5,60,60,17.5,60,60,60,60,60,20,17.5,60,60,17.5,60,60,60,60,60,20,15.5,60,60,17.5,60,60,60,60,60,6.5,6.5,60,60,6.5,60,60,60,60,60,6.5,6.5,60,60,6.5,60,60,60,60,60,9.5,9.5,60,60,9.5,60,60,60,60,60,9.5,9.5,60,60,9.5,60,60,60,60,60,12.5,12.5,60,60,12.5,60,60,60,60,60,12.5,12.5,60,60,12.5,60,60,60,60,60
Ch64,60,60,60,60,18,15,60,60,15,60,60,18.5,15.5,60,60,15.5,60,60,60,60,60,18.5,15.5,60,60,15.5,60,60,60,60,60,20,17,60,60,17,60,60,60,60,60,20,15.5,60,60,17,60,60,60,60,60,20,17.5,60,60,17.5,60,60,60,60,60,20,15.5,60,60,17.5,60,60,60,60,60,20,17.5,60,60,17.5,60,60,60,60,60,20,15.5,60,60,17.5,60,60,60,60,60,6.5,6.5,60,60,6.5,60,60,60,60,60,6.5,6.5,60,60,6.5,60,60,60,60,60,9.5,9.5,60,60,9.5,60,60,60,60,60,9.5,9.5,60,60,9.5,60,60,60,60,60,12.5,12.5,60,60,12.5,60,60,60,60,60,12.5,12.5,60,60,12.5,60,60,60,60,60
Ch68,60,60,60,60,18,15,60,60,15,60,60,18.5,15.5,60,60,15.5,60,60,60,60,60,18.5,15.5,60,60,15.5,60,60,60,60,60,20,17,60,60,17,60,60,60,60,60,20,15.5,60,60,17,60,60,60,60,60,20,17.5,60,60,17.5,60,60,60,60,60,20,15.5,60,60,17.5,60,60,60,60,60,20,17.5,60,60,17.5,60,60,60,60,60,20,15.5,60,60,17.5,60,60,60,60,60,6.5,6.5,60,60,6.5,60,60,60,60,60,6.5,6.5,60,60,6.5,60,60,60,60,60,9.5,9.5,60,60,9.5,60,60,60,60,60,9.5,9.5,60,60,9.5,60,60,60,60,60,12.5,12.5,60,60,12.5,60,60,60,60,60,12.5,12.5,60,60,12.5,60,60,60,60,60
Ch72,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Ch76,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Ch80,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Ch84,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Ch88,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Ch92,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Ch96,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Ch100,60,60,60,60,25,22,60,60,22,60,60,25,22,60,60,22,60,60,60,60,60,25,22,60,60,22,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,13,13,60,60,13,60,60,60,60,60,13,13,60,60,13,60,60,60,60,60,16,16,60,60,16,60,60,60,60,60,16,16,60,60,16,60,60,60,60,60,19,19,60,60,19,60,60,60,60,60,19,19,60,60,19,60,60,60,60,60
Ch104,60,60,60,60,25,22,60,60,22,60,60,25,22,60,60,22,60,60,60,60,60,25,22,60,60,22,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,13,13,60,60,13,60,60,60,60,60,13,13,60,60,13,60,60,60,60,60,16,16,60,60,16,60,60,60,60,60,16,16,60,60,16,60,60,60,60,60,19,19,60,60,19,60,60,60,60,60,19,19,60,60,19,60,60,60,60,60
Ch108,60,60,60,60,25,22,60,60,22,60,60,25,22,60,60,22,60,60,60,60,60,25,22,60,60,22,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,13,13,60,60,13,60,60,60,60,60,13,13,60,60,13,60,60,60,60,60,16,16,60,60,16,60,60,60,60,60,16,16,60,60,16,60,60,60,60,60,19,19,60,60,19,60,60,60,60,60,19,19,60,60,19,60,60,60,60,60
Ch112,60,60,60,60,25,22,60,60,22,60,60,25,22,60,60,22,60,60,60,60,60,25,22,60,60,22,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,13,13,60,60,13,60,60,60,60,60,13,13,60,60,13,60,60,60,60,60,16,16,60,60,16,60,60,60,60,60,16,16,60,60,16,60,60,60,60,60,19,19,60,60,19,60,60,60,60,60,19,19,60,60,19,60,60,60,60,60
Ch116,60,60,60,60,25,22,60,60,22,60,60,25,22,60,60,22,60,60,60,60,60,25,22,60,60,22,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,13.5,13,60,60,13.5,60,60,60,60,60,13.5,13,60,60,13.5,60,60,60,60,60,16.5,16,60,60,16.5,60,60,60,60,60,16.5,16,60,60,16.5,60,60,60,60,60,19.5,19,60,60,19.5,60,60,60,60,60,19.5,19,60,60,19.5,60,60,60,60,60
Ch120,60,60,60,60,25,22,60,60,22,60,60,25,22,60,60,22,60,60,60,60,60,25,22,60,60,22,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,13.5,13,60,60,13.5,60,60,60,60,60,13.5,13,60,60,13.5,60,60,60,60,60,16.5,16,60,60,16.5,60,60,60,60,60,16.5,16,60,60,16.5,60,60,60,60,60,19.5,19,60,60,19.5,60,60,60,60,60,19.5,19,60,60,19.5,60,60,60,60,60
Ch124,60,60,60,60,25,22,60,60,22,60,60,25,22,60,60,22,60,60,60,60,60,25,22,60,60,22,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,13.5,13,60,60,13.5,60,60,60,60,60,13.5,13,60,60,13.5,60,60,60,60,60,16.5,16,60,60,16.5,60,60,60,60,60,16.5,16,60,60,16.5,60,60,60,60,60,19.5,19,60,60,19.5,60,60,60,60,60,19.5,19,60,60,19.5,60,60,60,60,60
Ch128,60,60,60,60,25,22,60,60,22,60,60,25,22,60,60,22,60,60,60,60,60,25,22,60,60,22,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,13.5,13,60,60,13.5,60,60,60,60,60,13.5,13,60,60,13.5,60,60,60,60,60,16.5,16,60,60,16.5,60,60,60,60,60,16.5,16,60,60,16.5,60,60,60,60,60,19.5,19,60,60,19.5,60,60,60,60,60,19.5,19,60,60,19.5,60,60,60,60,60
Ch132,60,60,60,60,25,22,60,60,22,60,60,25,22,60,60,22,60,60,60,60,60,25,22,60,60,22,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,13.5,13,60,60,13.5,60,60,60,60,60,13.5,13,60,60,13.5,60,60,60,60,60,16.5,16,60,60,16.5,60,60,60,60,60,16.5,16,60,60,16.5,60,60,60,60,60,19.5,19,60,60,19.5,60,60,60,60,60,19.5,19,60,60,19.5,60,60,60,60,60
Ch136,60,60,60,60,25,22,60,60,22,60,60,25,22,60,60,22,60,60,60,60,60,25,22,60,60,22,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,13.5,13,60,60,13.5,60,60,60,60,60,13.5,13,60,60,13.5,60,60,60,60,60,16.5,16,60,60,16.5,60,60,60,60,60,16.5,16,60,60,16.5,60,60,60,60,60,19.5,19,60,60,19.5,60,60,60,60,60,19.5,19,60,60,19.5,60,60,60,60,60
Ch140,60,60,60,60,25,22,60,60,22,60,60,25,22,60,60,22,60,60,60,60,60,25,22,60,60,22,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,13.5,13,60,60,13.5,60,60,60,60,60,13.5,13,60,60,13.5,60,60,60,60,60,16.5,16,60,60,16.5,60,60,60,60,60,16.5,16,60,60,16.5,60,60,60,60,60,19.5,19,60,60,19.5,60,60,60,60,60,19.5,19,60,60,19.5,60,60,60,60,60
Ch144,60,60,60,60,25,22,60,60,22,60,60,25,22,60,60,22,60,60,60,60,60,25,22,60,60,22,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,27,24.5,60,60,24.5,60,60,60,60,60,27,22.5,60,60,24.5,60,60,60,60,60,13.5,13,60,60,13.5,60,60,60,60,60,13.5,13,60,60,13.5,60,60,60,60,60,16.5,16,60,60,16.5,60,60,60,60,60,16.5,16,60,60,16.5,60,60,60,60,60,19.5,19,60,60,19.5,60,60,60,60,60,19.5,19,60,60,19.5,60,60,60,60,60
Ch149,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Ch153,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Ch157,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Ch161,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
